author,candidato,circulation,date_published,source,title,url
,Freixo,,2016-10-19T19:38:00-02:00,globo_g1,Freixo pretende criar centro de apoio ao caminhoneiro na Penha,http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/freixo-pretende-criar-centro-de-apoio-ao-caminhoneiro-na-penha.html
,Freixo,,2016-10-19T17:48:47-02:00,extra,"Em comentário no Facebook, equipe de Crivella chama Freixo de 'frouxo'",http://extra.globo.com/noticias/extra-extra/em-comentario-no-facebook-equipe-de-crivella-chama-freixo-de-frouxo-20316561.html
Gustavo Schmitt - O Globo,Freixo,,2016-10-19T17:24:00-02:00,extra,TRE apreende 600 mil adesivos e 35 mil panfletos de Freixo,http://extra.globo.com/noticias/brasil/tre-apreende-600-mil-adesivos-35-mil-panfletos-de-freixo-20316666.html
,Freixo,,2016-10-19T17:22:36-02:00,r7,Crivella e Freixo partem para o ataque em segundo debate,http://noticias.r7.com/eleicoes-2016/crivella-e-freixo-partem-para-o-ataque-em-segundo-debate-19102016
,Freixo,,2016-10-19T17:22:28-02:00,r7,Presidente do PSDB no RJ anuncia apoio a Crivella,http://noticias.r7.com/eleicoes-2016/presidente-do-psdb-no-rj-anuncia-apoio-a-crivella-18102016
,Freixo,,2016-10-19T17:06:00-02:00,dci,Crivella diz que Freixo vai fazer 'revolução bolchevista' no Rio,http://www.dci.com.br/politica/crivella-diz-que-freixo-vai-fazer-revolucao-bolchevista-no-rio-id581900.html
,Freixo,,2016-10-19T15:57:02-02:00,odia,Eleições 2016: Carlos Osorio oficializa apoio a Marcelo Crivella,http://odia.ig.com.br/rio-de-janeiro/2016-10-19/eleicoes-2016-carlos-osorio-oficializa-apoio-a-marcelo-crivella.html
,Freixo,,2016-10-19T14:55:00-02:00,jb,Reação de Mariana Godoy a comentário machista de Marcelo Crivella viraliza. Vem!,http://www.jb.com.br/heloisa-tolipan/noticias/2016/10/19/reacao-de-mariana-godoy-a-comentario-machista-de-marcelo-crivella-viraliza-vem/
Marco Grillo - O Globo,Freixo,,2016-10-19T13:36:00-02:00,extra,Freixo diz que crise econômica não é causada por excesso de despesas do governo,http://extra.globo.com/noticias/brasil/freixo-diz-que-crise-economica-nao-causada-por-excesso-de-despesas-do-governo-20314729.html
,Freixo,,2016-10-19T13:28:18-02:00,extra,Osorio sai da neutralidade e oficializa apoio a Crivella,http://extra.globo.com/noticias/extra-extra/osorio-sai-da-neutralidade-oficializa-apoio-crivella-20314625.html
,Freixo,,2016-10-19T13:20:16-02:00,extra,"Durante o debate, Crivella consegue passar Freixo no Twitter",http://extra.globo.com/noticias/extra-extra/durante-debate-crivella-consegue-passar-freixo-no-twitter-20314651.html
,Freixo,,2016-10-19T11:38:00-02:00,jb,'Tchau de miss' de Mariana Godoy após fala de Crivella repercute nas redes,http://www.jb.com.br/eleicoes-2016-rio/noticias/2016/10/19/tchau-de-miss-de-mariana-godoy-apos-fala-de-crivella-repercute-nas-redes/
,Freixo,,2016-10-19T09:55:05-02:00,odia,Confira as agendas de Marcelo Crivella e Marcelo Freixo nesta quarta,http://odia.ig.com.br/rio-de-janeiro/2016-10-19/confira-as-agendas-de-marcelo-crivella-e-marcelo-freixo-nesta-quarta-feira.html
,Freixo,,2016-10-19T08:25:00-02:00,globo_g1,Veja as agendas de Marcelo Crivella e Marcelo Freixo nesta quarta-feira,http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/veja-agendas-de-marcelo-crivella-e-marcelo-freixo-nesta-quarta-feira.html
NONATO VIEGAS,Freixo,,2016-10-19T06:00:00-02:00,epoca,José Trajano recusa convite para ser candidato a deputado federal pelo PSOL em 2018,http://epoca.globo.com/tempo/expresso/noticia/2016/10/jose-trajano-recusa-convite-para-ser-candidato-deputado-federal-pelo-psol-em-2018.html
,Freixo,,2016-10-19T03:51:37-02:00,dci,Primeiro debate do 2º turno no Rio é marcado por troca de acusações,http://www.dci.com.br/politica/primeiro-debate-do-2%C2%BA-turno-no-rio-e-marcado-por-troca-de-acusacoes-id581743.html
,Freixo,,2016-10-19T00:58:00-02:00,globo_g1,Crivella e Freixo trocam acusações em debate pela Prefeitura do Rio,http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/crivella-e-freixo-trocam-acusacoes-em-debate-pela-prefeitura-do-rio.html
,Freixo,,2016-10-19T00:32:57-02:00,extra,#TiroPorradaeBomba: Os momentos de ataque entre Crivella e Freixo na Rede TV,http://extra.globo.com/noticias/extra-extra/tiroporradaebomba-os-momentos-de-ataque-entre-crivella-freixo-na-rede-tv-20312758.html
